%Time [yyyymmddHHMM]	Hs [m]	Tp [s]	Dir [deg]
200501010000	1.10	4.20	287.00
200501010100	1.10	4.50	294.00
200501010200	1.10	4.70	298.00
200501010300	1.01	4.30	294.00
200501010400	1.07	4.40	297.00
200501010500	1.09	4.40	300.00
200501010600	1.01	4.30	306.00
200501010700	1.06	4.20	306.00
200501010800	1.01	4.30	306.00
200501010900	0.99	4.00	293.00
200501011000	1.01	4.00	288.00
200501011100	1.11	3.90	286.00
200501011200	1.01	4.00	267.00
200501011300	1.13	4.30	265.00
200501011400	1.14	4.40	268.00
200501011500	1.20	4.40	258.00
200501011600	1.37	4.40	245.00
200501011700	1.58	4.40	238.00
200501011800	1.83	4.40	227.00
200501011900	2.10	4.50	224.00
200501012000	2.45	4.70	226.00
200501012100	2.54	4.90	219.00
200501012200	2.77	5.10	222.00
200501012300	3.19	5.60	231.00
200501020000	3.03	5.60	240.00
200501020100	2.92	5.60	242.00
200501020200	3.27	6.10	245.00
200501020300	3.05	6.00	250.00
200501020400	3.60	6.30	252.00
200501020500	3.72	6.20	267.00
200501020600	4.01	6.51	273.00
200501020700	4.59	6.70	280.00
200501020800	4.07	6.54	280.00
200501020900	4.20	6.60	279.00
200501021000	4.04	6.70	291.00
200501021100	4.52	6.70	285.00
200501021200	4.09	6.65	282.00
200501021300	4.22	6.75	279.00
200501021400	4.37	6.60	283.00
200501021500	3.86	6.40	291.00
200501021600	4.13	6.70	286.00
200501021700	3.82	6.52	282.00
200501021800	3.87	6.50	289.00
200501021900	4.15	6.60	285.00
200501022000	4.47	6.80	287.00
200501022100	3.73	6.46	284.00
200501022200	4.10	6.40	294.00
200501022300	3.82	6.40	296.00
200501030000	3.89	6.48	290.00
200501030100	3.98	6.55	288.00
200501030200	3.77	6.47	290.00
200501030300	3.82	6.50	280.00
200501030400	3.28	6.50	290.00
200501030500	3.66	6.60	292.00
200501030600	3.53	6.40	296.00
200501030700	3.57	6.40	289.00
200501030800	3.12	6.10	299.00
200501030900	3.01	6.00	294.00
200501031000	3.01	5.80	295.00
200501031100	2.73	5.90	298.00
200501031200	2.67	5.60	290.00
200501031300	2.52	5.60	289.00
200501031400	2.54	5.70	290.00
200501031500	2.59	5.80	284.00
200501031600	2.69	6.10	296.00
200501031700	2.55	5.90	293.00
200501031800	2.51	6.00	301.00
200501031900	2.46	6.00	298.00
200501032000	2.36	5.50	296.00
200501032100	2.43	5.10	272.00
200501032200	2.35	5.20	274.00
200501032300	2.38	5.50	271.00
200501040000	2.30	5.20	269.00
200501040100	2.51	5.20	256.00
200501040200	2.39	5.40	248.00
200501040300	2.52	5.80	251.00
200501040400	2.53	5.80	248.00
200501040500	2.68	5.90	248.00
200501040600	2.71	5.80	246.00
200501040700	2.52	5.60	247.00
200501040800	2.53	5.40	245.00
200501040900	2.55	5.30	245.00
200501041000	2.73	5.30	241.00
200501041100	2.94	5.40	238.00
200501041200	3.21	5.60	237.00
200501041300	3.09	5.60	232.00
200501041400	3.21	5.80	232.00
200501041500	3.14	6.00	230.00
200501041600	2.86	5.90	226.00
200501041700	2.72	5.90	225.00
200501041800	3.22	6.30	227.00
200501041900	2.72	5.80	226.00
200501042000	2.74	5.70	233.00
200501042100	3.01	5.80	233.00
200501042200	2.53	5.60	233.00
200501042300	2.35	5.40	235.00
200501050000	2.33	5.60	235.00
200501050100	2.06	5.40	239.00
200501050200	1.88	5.10	249.00
200501050300	2.04	5.00	249.00
200501050400	1.91	5.20	255.00
200501050500	1.81	5.10	268.00
200501050600	1.65	4.90	273.00
200501050700	1.61	4.80	278.00
200501050800	1.85	5.10	293.00
200501050900	1.77	5.10	291.00
200501051000	1.70	4.90	298.00
200501051100	1.61	4.80	288.00
200501051200	1.72	4.80	292.00
200501051300	1.66	4.60	284.00
200501051400	1.62	4.50	275.00
200501051500	1.62	4.60	270.00
200501051600	1.75	4.90	265.00
200501051700	1.80	5.00	257.00
200501051800	2.02	5.30	258.00
200501051900	1.96	5.20	247.00
200501052000	2.37	5.20	243.00
200501052100	2.24	5.10	243.00
200501052200	2.16	4.80	241.00
200501052300	2.85	5.20	243.00
200501060000	2.49	5.22	248.00
200501060100	3.14	5.60	243.00
200501060200	2.64	5.40	243.00
200501060300	2.58	5.30	250.00
200501060400	2.44	5.30	250.00
200501060500	2.33	5.30	249.00
200501060600	2.43	5.40	261.00
200501060700	2.35	5.30	276.00
200501060800	2.45	5.50	276.00
200501060900	1.94	4.90	266.00
200501061000	2.24	5.10	268.00
200501061100	2.01	4.90	271.00
200501061200	1.92	4.80	270.00
200501061300	1.67	4.50	269.00
200501061400	1.65	4.60	278.00
200501061500	1.71	4.90	286.00
200501061600	1.68	4.70	273.00
200501061700	1.65	4.90	268.00
200501061800	1.69	4.90	258.00
200501061900	2.00	5.00	244.00
200501062000	2.33	5.30	238.00
200501062100	2.38	5.40	233.00
200501062200	2.44	5.40	237.00
200501062300	2.54	5.30	237.00
200501070000	2.59	5.20	234.00
200501070100	2.47	5.00	237.00
200501070200	2.44	5.00	227.00
200501070300	2.77	5.30	224.00
200501070400	2.75	5.30	227.00
